oso,1,animal,bear
perro,1,animal,dog
gato,1,animal,cat
mono,1,animal,monkey
boca,1,body,mouth
cama,1,item,bed
taza,1,item,cup
luz,1,item,light
mesa,1,item,table
risa,1,overt,laugh
ba?o,1,overt,bath
danza,1,overt,dance
comer,1,overt,eat
dar,1,covert,give
ir,1,covert,go
beso,1,overt,kiss
malo,1,value,bad
grande,1,size,big
poco,1,size,little
fr?o,1,value,cold
seco,1,value,dry
bueno,1,value,good
este,1,other,this
que,1,other,that
m?s,1,other,more
qu?,1,question,what
donde,1,question,where
me,1,other,me
en,1,other,in
no,1,other,no
s?,1,other,yes
en,1,other,on
manzana,2,food,apple
bebida,2,food,drink
brazo,2,body,arm
cabeza,2,body,head
puerta,2,item,door
robot,2,item,robot
abrazo,2,overt,hug
azul,2,color,blue
sucio,2,value,dirty
limpio,2,value,clean
feliz,2,value,happy
pesado,2,value,heavy
cuando,2,question,when
m?o,2,other,mine
fuera,2,other,out
p?jaro,3,animal,bird
galleta,3,food,cookie
galleta,3,food,cracker
botella,3,item,bottle
silla,3,item,chair
oreja,3,body,ear
vientre,3,body,belly
computador,3,item,computer
tableta,3,item,tablet
abajo,3,covert,down
arriba,3,covert,up
aplaudir,3,overt,clap
llegar,3,covert,get
caliente,3,value,hot
rojo,3,color,red
por qu?,3,question,why
apagado,3,other,off
